# kml2gmt: KML read from ../../../data/DEM/south_island/gnsNZL_GNS_250K_faults.kml
# gns:NZL_GNS_250K_faults
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2024"
170.013775944	-44.589887238
170.011396078	-44.5896593569
170.009961685	-44.5891766178
169.856422664	-44.6355000352
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2025"
169.858908775	-44.6344164847
169.85785732	-44.6350364618
169.856160049	-44.6355848925
169.853751543	-44.6360464646
169.920659987	-44.6947162414
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2026"
169.920342758	-44.6939266152
169.920840114	-44.6951646036
169.920977002	-44.6955059535
169.625911347	-44.3744395751
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2027"
169.625634168	-44.3709280085
169.625982475	-44.3721452136
169.625999458	-44.373447305
169.625824745	-44.375414853
169.625335274	-44.3762922834
169.624900355	-44.377369475
169.624718745	-44.3777469829
169.625913143	-44.3807629897
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2028"
169.624718745	-44.3777469829
169.625030096	-44.3786208204
169.625567925	-44.379929142
169.625973728	-44.380909326
169.626183588	-44.381856755
169.626872275	-44.3834397073
169.626986105	-44.3838123457
169.50915495	-44.3710446701
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2029"
169.51241431	-44.3663470982
169.512284038	-44.3666404231
169.511896207	-44.3673628459
169.511213678	-44.3685582807
169.51068219	-44.3692673433
169.509417585	-44.3706433236
169.508865576	-44.3714868791
169.508039299	-44.3729887236
169.507528962	-44.3739236173
169.506956985	-44.3748386249
169.506300283	-44.3755393714
169.505998637	-44.3758094798
168.421736746	-44.3382712575
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_202a"
168.414570911	-44.3381811387
168.415883081	-44.3381434972
168.419364277	-44.3383547924
168.424461323	-44.338175325
168.428419696	-44.3386307208
168.428880501	-44.3386806464
168.425463327	-44.3268394449
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_202b"
168.414570911	-44.3381811387
168.415916779	-44.3369415589
168.418099497	-44.3348295822
168.419911268	-44.3332074921
168.421962214	-44.3313741043
168.424048905	-44.3290373644
168.425367667	-44.3269268179
168.427201939	-44.3252514448
168.429145954	-44.3243059938
168.430502662	-44.3230802143
168.432191342	-44.3216603485
168.433379983	-44.320049281
168.433192371	-44.3148050891
168.895450908	-44.3507495162
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_202c"
168.916962437	-44.3394655373
168.916103461	-44.3402685034
168.91535211	-44.3409671606
168.912793389	-44.3421556802
168.91138942	-44.342849109
168.910378916	-44.3433447759
168.909969761	-44.3435419627
168.907719828	-44.3446197224
168.904729917	-44.345819738
168.899187788	-44.34905517
168.897114695	-44.3501570688
168.895125351	-44.3508654418
168.890115752	-44.3534707018
168.886653409	-44.3551309474
168.882950334	-44.3568185092
168.880706893	-44.357292257
