Longitude (deg), Latitude (deg), 100 C depth (km), 200 C depth (km), 300 C depth (km), 400 C depth (km), 500 C depth (km), 600 C depth (km), Exhumation rate (mm/yr)
169.33, -43.77, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.11
169.53, -43.67, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.1
169.73, -43.57, 2.83, 6.36, 10.25, 15.2, 22.63, 32.88, 0.23
169.93, -43.47, 2.83, 6.36, 10.61, 15.91, 23.33, 33.59, 0.05
170.13, -43.37, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.1
170.33, -43.27, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.1
170.53, -43.17, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.1
170.73, -43.07, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.09
170.93, -42.97, 2.83, 6.36, 10.61, 15.91, 23.33, 33.59, 0.04
171.13, -42.87, 2.47, 6.01, 9.9, 14.49, 21.57, 32.17, 0.48
169.13, -43.87, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.1
169.23, -43.995, 1.41, 2.83, 4.95, 7.78, 11.67, 23.33, 4.15
169.43, -43.895, 1.77, 3.89, 6.72, 10.25, 15.2, 26.87, 2.43
169.63, -43.795, 2.12, 4.6, 7.78, 12.02, 18.03, 28.99, 1.52
169.83, -43.695, 1.41, 3.18, 5.66, 8.48, 12.73, 24.75, 3.53
170.03, -43.595, 0.71, 2.12, 3.18, 5.3, 7.78, 24.39, 7.5
170.23, -43.495, 1.06, 2.12, 3.54, 5.66, 8.48, 24.75, 6.83
170.43, -43.395, 1.41, 3.18, 5.3, 8.13, 12.37, 24.04, 3.78
170.63, -43.295, 1.77, 4.24, 7.07, 10.61, 15.91, 27.22, 2.2
170.83, -43.195, 2.12, 4.95, 8.48, 12.73, 19.09, 30.05, 1.18
171.03, -43.095, 2.47, 5.66, 9.55, 14.14, 21.21, 31.82, 0.6
171.23, -42.995, 2.47, 5.66, 9.19, 13.79, 20.51, 31.46, 0.72
169.33, -44.12, 2.12, 4.95, 8.13, 12.37, 18.38, 29.34, 1.37
169.53, -44.02, 2.12, 4.95, 8.13, 12.37, 18.74, 29.7, 1.31
169.73, -43.92, 2.12, 4.6, 7.78, 11.67, 17.32, 28.64, 1.68
169.93, -43.82, 2.12, 4.6, 7.78, 11.67, 17.32, 28.64, 1.68
170.13, -43.72, 1.06, 2.12, 3.89, 6.01, 9.19, 24.75, 6.15
170.33, -43.62, 1.06, 2.12, 3.54, 5.66, 8.48, 24.75, 6.61
170.53, -43.52, 1.41, 3.18, 5.66, 8.48, 13.08, 24.75, 3.43
170.73, -43.42, 1.77, 3.89, 6.72, 10.25, 15.56, 27.22, 2.32
170.93, -43.32, 1.77, 4.24, 7.07, 10.96, 16.26, 27.93, 2.01
171.13, -43.22, 2.47, 5.3, 9.19, 13.79, 20.15, 31.11, 0.82
171.33, -43.12, 2.47, 5.3, 8.84, 13.43, 19.8, 30.76, 0.92
169.43, -44.245, 2.12, 5.3, 8.48, 13.08, 19.44, 30.4, 1.07
169.63, -44.145, 2.47, 5.66, 9.19, 13.79, 20.51, 31.11, 0.79
169.83, -44.045, 2.12, 5.3, 8.84, 13.08, 19.44, 30.4, 1.01
170.03, -43.945, 2.12, 4.6, 7.42, 11.31, 17.32, 28.28, 1.75
170.23, -43.845, 1.41, 3.18, 5.3, 7.78, 12.02, 23.69, 3.97
170.43, -43.745, 1.41, 3.18, 5.3, 8.13, 12.37, 24.04, 3.8
170.63, -43.645, 1.77, 3.89, 6.72, 10.25, 15.2, 26.87, 2.44
170.83, -43.545, 1.77, 4.24, 7.07, 10.96, 16.26, 27.58, 2.06
171.03, -43.445, 1.77, 4.24, 7.07, 10.61, 15.91, 27.58, 2.13
171.23, -43.345, 2.12, 4.6, 7.78, 12.02, 18.03, 28.99, 1.5
171.43, -43.245, 2.12, 5.3, 8.84, 13.08, 19.44, 30.4, 1.02
169.73, -44.27, 2.83, 6.72, 10.96, 16.26, 24.04, 34.29, -0.11
169.93, -44.17, 2.83, 6.72, 10.96, 16.26, 24.04, 34.29, -0.13
170.13, -44.07, 2.47, 6.01, 9.9, 14.85, 21.92, 32.53, 0.4
170.33, -43.97, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.1
170.53, -43.87, 2.83, 6.36, 10.61, 15.56, 22.98, 33.59, 0.1
170.73, -43.77, 2.47, 6.01, 9.55, 14.49, 21.57, 32.17, 0.51
170.93, -43.67, 3.18, 7.07, 11.31, 16.97, 24.75, 35.0, -0.29
171.13, -43.57, 2.47, 6.01, 9.9, 14.85, 21.92, 32.17, 0.42
171.33, -43.47, 2.83, 6.72, 10.96, 16.26, 24.04, 34.65, -0.15
171.53, -43.37, 2.83, 6.01, 10.25, 15.2, 22.27, 32.88, 0.3
169.53, -44.37, 2.47, 6.01, 9.9, 14.85, 21.92, 32.53, 0.4
